word_clean,n_train_instances,n_val_instances,n_total,train_frequency,all_frequency
ein,17000,4343,1802645,0.0094305867211792,0.0118398242582427
einer,772,183,1802645,0.0004282595852206,0.0005297770775721
eine,7603,1901,1802645,0.0042176912259485,0.0052722527175345
ein bisschen,93,28,1802645,0.0000515908567688,0.0000671235878390
über,541,142,1802645,0.0003001145538916,0.0003788876900333
auch,11303,2898,1802645,0.0062702306887934,0.0078778683545568
andere,828,205,1802645,0.0004593250473610,0.0005730468284105
anderer,42,13,1802645,0.0000232990966053,0.0000305107217450
weg,891,193,1802645,0.0004942736922689,0.0006013385885740
zurück,237,65,1802645,0.0001314734737011,0.0001675315993998
schlecht,333,98,1802645,0.0001847285516560,0.0002390931104017
böse,13,5,1802645,0.0000072116251397,0.0000099853271165
ball,31,5,1802645,0.0000171969522563,0.0000199706542331
jeder,74,20,1802645,0.0000410507892569,0.0000521455971642
groß,404,100,1802645,0.0002241151197268,0.0002795891592632
beißen,32,12,1802645,0.0000177516926516,0.0000244085773960
schwarz,163,38,1802645,0.0000904226844442,0.0001115028194681
pusten,112,29,1802645,0.0000621309242807,0.0000782183957463
blau,293,74,1802645,0.0001625389358415,0.0002035897250984
kaputt machen,0,0,1802645,0.0000000000000000,0.0000000000000000
bringen,124,33,1802645,0.0000687878090251,0.0000870942420721
kaputt,425,124,1802645,0.0002357646680295,0.0003045524770546
bus,69,19,1802645,0.0000382770872801,0.0000488171547920
kaufen,182,50,1802645,0.0001009627519562,0.0001286997717243
kann,3641,970,1802645,0.0020198097795184,0.0025579079630210
können,1902,520,1802645,0.0010551162319813,0.0013435812375703
vorsichtig,348,90,1802645,0.0001930496575865,0.0002429762931692
tragen,65,11,1802645,0.0000360581256986,0.0000421602700476
fangen,85,25,1802645,0.0000471529336059,0.0000610214434900
sauber machen,3,2,1802645,0.0000016642211861,0.0000027737019768
aufräumen,53,14,1802645,0.0000294012409543,0.0000371676064894
sauber,79,24,1802645,0.0000438244912337,0.0000571382607224
klettern,42,20,1802645,0.0000232990966053,0.0000343939045125
zumachen,83,12,1802645,0.0000460434528152,0.0000527003375595
kalt,281,68,1802645,0.0001558820510971,0.0001936043979819
weinen,38,7,1802645,0.0000210801350238,0.0000249633177914
tanzen,34,13,1802645,0.0000188611734424,0.0000260727985821
dunkel,116,29,1802645,0.0000643498858622,0.0000804373573277
schmutzig,11,4,1802645,0.0000061021443490,0.0000083211059305
malen,694,207,1802645,0.0003849898343823,0.0004998210962225
zeichnen,23,5,1802645,0.0000127590290934,0.0000155327310702
trinken,420,111,1802645,0.0002329909660527,0.0002945671499380
fahren,1421,348,1802645,0.0007882861018115,0.0009813357593980
