word_clean,n_train_instances,n_val_instances,n_total,train_frequency,all_frequency
a,240892,60881,16062386,0.0149972737549702,0.0187875574649993
an,10742,2766,16062386,0.0006687673923413,0.0008409709491479
a lot,3862,943,16062386,0.0002404375041168,0.0002991460919941
about,22012,5466,16062386,0.0013704066133139,0.0017107047483481
above,258,74,16062386,0.0000160623708084,0.0000206694073969
airplane,975,217,16062386,0.0000607008199155,0.0000742106434250
all,39602,9983,16062386,0.0024655116618415,0.0030870258005255
all gone,616,153,16062386,0.0000383504667364,0.0000478758261693
alligator,308,96,16062386,0.0000191752333682,0.0000251519294830
am,3254,816,16062386,0.0002025850953899,0.0002533870123654
and,173846,43639,16062386,0.0108231740913212,0.0135400182762387
animal,1240,283,16062386,0.0000771989914823,0.0000948177935706
ankle,59,16,16062386,0.0000036731778205,0.0000046692938397
another,11475,2747,16062386,0.0007144019574676,0.0008854226265014
ant,139,43,16062386,0.0000086537579162,0.0000113308197176
any,9705,2393,16062386,0.0006042066228517,0.0007531882249623
apple,2994,742,16062386,0.0001863982100791,0.0002325930904661
applesauce,99,28,16062386,0.0000061634678683,0.0000079066709018
are,85295,21288,16062386,0.0053102322407144,0.0066355646041628
arm,1221,307,16062386,0.0000760161037096,0.0000951290798266
around,5484,1351,16062386,0.0003414187655558,0.0004255283119208
asleep,1093,272,16062386,0.0000680471755566,0.0000849811478818
at,42044,10529,16062386,0.0026175438692608,0.0032730504670975
awake,287,75,16062386,0.0000178678310931,0.0000225371249327
away,8746,2268,16062386,0.0005445019189553,0.0006857013646665
back,21315,5218,16062386,0.0013270133092306,0.0016518716459684
bad,2049,527,16062386,0.0001275651076994,0.0001603746790794
ball,6760,1622,16062386,0.0004208590180811,0.0005218402795201
balloon,1436,374,16062386,0.0000894014127166,0.0001126856246637
banana,1255,360,16062386,0.0000781328502503,0.0001005454606806
basement,95,26,16062386,0.0000059144388636,0.0000075331273946
basket,1370,364,16062386,0.0000852924341377,0.0001079540735729
bat,320,64,16062386,0.0000199223203825,0.0000239067844590
bathroom,837,222,16062386,0.0000521093192506,0.0000659304290160
bathtub,326,84,16062386,0.0000202958638897,0.0000255254729901
be,32881,8216,16062386,0.0020470806765570,0.0025585862523787
beach,794,197,16062386,0.0000494322574492,0.0000616969359347
beads,447,99,16062386,0.0000278289912844,0.0000339924591527
beans,1006,243,16062386,0.0000626307947026,0.0000777593067431
bear,4183,1037,16062386,0.0002604220817505,0.0003249828512402
because,25472,6258,16062386,0.0015858167024501,0.0019754225804311
bed,6090,1494,16062386,0.0003791466597802,0.0004721589930662
bedroom,907,212,16062386,0.0000564673268343,0.0000696658640877
bee,1167,308,16062386,0.0000726542121451,0.0000918294455133
behind,2381,573,16062386,0.0001482345150963,0.0001839079200313
belly button,65,25,16062386,0.0000040467213277,0.0000056031526076
belt,243,64,16062386,0.0000151285120405,0.0000191129761170
bench,205,36,16062386,0.0000127627364951,0.0000150039975381
beside,219,85,16062386,0.0000136343380118,0.0000189262043634
better,7795,1947,16062386,0.0004852952730684,0.0006065101411459
bib,498,141,16062386,0.0000310041110953,0.0000397823835139
bicycle,518,142,16062386,0.0000322492561192,0.0000410897857890
big,20171,5011,16062386,0.0012557910138631,0.0015677620996034
bird,2041,476,16062386,0.0001270670496899,0.0001567015012589
bite,2019,522,16062386,0.0001256973901636,0.0001581956752876
black,2216,559,16062386,0.0001379620686491,0.0001727638720673
blanket,762,195,16062386,0.0000474400254109,0.0000595801893940
block,904,213,16062386,0.0000562805550807,0.0000695413495853
blow,1665,445,16062386,0.0001036583232404,0.0001313628000224
blue,7466,1766,16062386,0.0004648126374251,0.0005747589430362
boat,2026,518,16062386,0.0001261331909219,0.0001583824470412
book,12338,3075,16062386,0.0007681299652492,0.0009595710126752
boots,652,140,16062386,0.0000405917277794,0.0000493077429468
bottle,2388,635,16062386,0.0001486703158547,0.0001882036703638
bowl,1565,402,16062386,0.0000974325981209,0.0001224600131014
box,6970,1744,16062386,0.0004339330408322,0.0005425096869170
bread,2365,594,16062386,0.0001472383990772,0.0001842192062873
break,2303,637,16062386,0.0001433784495031,0.0001830363185146
bring,4179,985,16062386,0.0002601730527457,0.0003214964451732
broken,2193,540,16062386,0.0001365301518716,0.0001701490675171
broom,222,60,16062386,0.0000138211097654,0.0000175565448371
brown,1826,468,16062386,0.0001136817406829,0.0001428181342423
brush,1720,442,16062386,0.0001070824720561,0.0001346001770845
bubbles,974,255,16062386,0.0000606385626644,0.0000765141617192
bucket,709,187,16062386,0.0000441403910976,0.0000557824970711
bug,504,149,16062386,0.0000313776546025,0.0000406539850306
build,2054,498,16062386,0.0001278763939554,0.0001588805050507
bump,808,200,16062386,0.0000503038589659,0.0000627553092050
bunny,1917,469,16062386,0.0001193471505416,0.0001485458013523
bus,3036,738,16062386,0.0001890130146293,0.0002349588660116
but,27674,6863,16062386,0.0017229071695824,0.0021501786845367
butter,1105,253,16062386,0.0000687942625710,0.0000845453471234
butterfly,713,169,16062386,0.0000443894201023,0.0000549108955544
button,1292,310,16062386,0.0000804363685445,0.0000997361164151
buy,2861,732,16062386,0.0001781179956701,0.0002236903035452
by,4714,1133,16062386,0.0002934806821353,0.0003640181477397
cake,2789,717,16062386,0.0001736354735841,0.0002182739226912
camera,956,229,16062386,0.0000595179321428,0.0000737748426666
can,70329,17538,16062386,0.0043784902193236,0.0054703578907891
candy,565,139,16062386,0.0000351753469254,0.0000438291048416
car,10855,2621,16062386,0.0006758024617264,0.0008389787171096
careful,4866,1241,16062386,0.0003029437843170,0.0003802050330505
carrots,645,157,16062386,0.0000401559270211,0.0000499303154587
carry,916,232,16062386,0.0000570276420950,0.0000714713243724
cat,4701,1134,16062386,0.0002926713378697,0.0003632710607253
catch,2256,557,16062386,0.0001404523586969,0.0001751296476128
cereal,828,206,16062386,0.0000515490039898,0.0000643739977361
chair,5135,1247,16062386,0.0003196909848885,0.0003973257771293
chalk,197,49,16062386,0.0000122646784855,0.0000153152837941
chase,203,48,16062386,0.0000126382219927,0.0000156265700501
cheek,128,31,16062386,0.0000079689281530,0.0000098989029401
cheerios,47,12,16062386,0.0000029260908062,0.0000036731778205
cheese,3365,850,16062386,0.0002094956502726,0.0002624143137887
chicken,2292,526,16062386,0.0001426936197399,0.0001754409338687
chin,351,93,16062386,0.0000218522951696,0.0000276422195308
potato chip,15,8,16062386,0.0000009338587679,0.0000014319167775
chocolate,1967,502,16062386,0.0001224600131014,0.0001537131532015
church,447,100,16062386,0.0000278289912844,0.0000340547164039
clap,924,182,16062386,0.0000575257001046,0.0000688565198221
clean,2943,726,16062386,0.0001832230902682,0.0002284218546360
climb,862,214,16062386,0.0000536657505305,0.0000669888022863
clock,1377,332,16062386,0.0000857282348961,0.0001063976422930
