word_clean,n_train_instances,n_val_instances,n_total,train_frequency,all_frequency
啊,14608,3687,1106494,0.0132020598394569,0.0165342062406122
一点,698,178,1106494,0.0006308213148919,0.0007916897877440
好多,395,96,1106494,0.0003569834088572,0.0004437439335414
飞机,143,29,1106494,0.0001292370315609,0.0001554459400593
都,3161,846,1106494,0.0028567710263228,0.0036213481501029
没 了,75,24,1106494,0.0000677816599096,0.0000894717910807
也,3118,773,1106494,0.0028179095413080,0.0035165125161094
救护车,5,3,1106494,0.0000045187773273,0.0000072300437237
生气,214,53,1106494,0.0001934036696087,0.0002413027092781
动物,281,54,1106494,0.0002539552857946,0.0003027580809295
另外,79,21,1106494,0.0000713966817714,0.0000903755465461
蚂蚁,109,35,1106494,0.0000985093457353,0.0001301407870264
苹果,1335,321,1106494,0.0012065135463907,0.0014966190508037
胳膊,10,1,1106494,0.0000090375546546,0.0000099413101201
睡着,102,27,1106494,0.0000921830574770,0.0001165844550445
在,8690,2156,1106494,0.0078536349948576,0.0098021317783919
院子,13,1,1106494,0.0000117488210510,0.0000126525765165
坏,425,100,1106494,0.0003840960728210,0.0004744716193671
书包,19,8,1106494,0.0000171713538438,0.0000244013975675
包,85,16,1106494,0.0000768192145642,0.0000912793020116
皮球,199,47,1106494,0.0001798473376268,0.0002223238445034
球,595,126,1106494,0.0005377345019494,0.0006516076905975
气球,75,17,1106494,0.0000677816599096,0.0000831455028224
香蕉,159,40,1106494,0.0001436971190083,0.0001798473376268
厕所,14,6,1106494,0.0000126525765165,0.0000180751093092
浴室,140,45,1106494,0.0001265257651646,0.0001671947611103
浴缸,5,0,1106494,0.0000045187773273,0.0000045187773273
电池,22,7,1106494,0.0000198826202401,0.0000262089084984
豆,15,2,1106494,0.0000135563319819,0.0000153638429128
熊,279,70,1106494,0.0002521477748637,0.0003154106574460
床,285,81,1106494,0.0002575703076564,0.0003307745003588
卧室,6,0,1106494,0.0000054225327928,0.0000054225327928
蜜蜂,146,48,1106494,0.0001319482979573,0.0001753285602995
自行车,8,5,1106494,0.0000072300437237,0.0000117488210510
大,5060,1224,1106494,0.0045730026552336,0.0056791993449580
鸟,188,59,1106494,0.0001699060275067,0.0002232275999689
咬,215,48,1106494,0.0001943074250742,0.0002376876874163
黑色,39,6,1106494,0.0000352464631530,0.0000406689959458
黑,323,75,1106494,0.0002919130153440,0.0003596946752535
毯子,6,0,1106494,0.0000054225327928,0.0000054225327928
积木,96,31,1106494,0.0000867605246843,0.0001147769441136
吹,108,24,1106494,0.0000976055902698,0.0001192957214409
蓝色,46,8,1106494,0.0000415727514112,0.0000488027951349
蓝,96,17,1106494,0.0000867605246843,0.0001021243675971
船,80,19,1106494,0.0000723004372369,0.0000894717910807
书,1180,297,1106494,0.0010664314492442,0.0013348468224862
枪,46,9,1106494,0.0000415727514112,0.0000497065506004
瓶子,24,6,1106494,0.0000216901311711,0.0000271126639638
碗,174,39,1106494,0.0001572534509902,0.0001924999141432
盒子,230,67,1106494,0.0002078637570561,0.0002684153732420
面包,87,22,1106494,0.0000786267254951,0.0000985093457353
拆,50,7,1106494,0.0000451877732731,0.0000515140615313
打碎,19,3,1106494,0.0000171713538438,0.0000198826202401
带,758,183,1106494,0.0006850466428196,0.0008504338929990
坏 了,170,35,1106494,0.0001536384291284,0.0001852698704195
扫帚,4,1,1106494,0.0000036150218618,0.0000045187773273
刷,114,21,1106494,0.0001030281230626,0.0001220069878373
刷子,5,4,1106494,0.0000045187773273,0.0000081337991892
泡泡,167,50,1106494,0.0001509271627320,0.0001961149360051
桶,31,5,1106494,0.0000280164194293,0.0000325351967566
虫子,103,26,1106494,0.0000930868129425,0.0001165844550445
撞,60,14,1106494,0.0000542253279277,0.0000668779044441
兔子,181,33,1106494,0.0001635797392485,0.0001934036696087
公共汽车,5,3,1106494,0.0000045187773273,0.0000072300437237
屁股,53,10,1106494,0.0000478990396694,0.0000569365943241
蝴蝶,90,28,1106494,0.0000813379918915,0.0001066431449244
买,654,140,1106494,0.0005910560744116,0.0007175818395762
白菜,5,3,1106494,0.0000045187773273,0.0000072300437237
蛋糕,86,24,1106494,0.0000777229700297,0.0000994131012007
照相机,20,2,1106494,0.0000180751093092,0.0000198826202401
会,3252,828,1106494,0.0029390127736797,0.0036873222990816
能,1289,312,1106494,0.0011649407949795,0.0014469125002033
罐头,35,9,1106494,0.0000316314412911,0.0000397652404803
蜡烛,12,1,1106494,0.0000108450655855,0.0000117488210510
套,46,11,1106494,0.0000415727514112,0.0000515140615313
车,353,98,1106494,0.0003190256793078,0.0004075937149230
小心,214,41,1106494,0.0001934036696087,0.0002304576436926
胡萝卜,44,8,1106494,0.0000397652404803,0.0000469952842040
猫,2338,559,1106494,0.0021129802782482,0.0026181795834410
抓,534,129,1106494,0.0004826054185563,0.0005991898736008
逮,6,0,1106494,0.0000054225327928,0.0000054225327928
椅子,117,36,1106494,0.0001057393894590,0.0001382745862156
脸蛋,4,1,1106494,0.0000036150218618,0.0000045187773273
奶酪,15,2,1106494,0.0000135563319819,0.0000153638429128
鸡,187,45,1106494,0.0001690022720412,0.0002096712679870
鸡肉,7,0,1106494,0.0000063262882582,0.0000063262882582
下巴,8,1,1106494,0.0000072300437237,0.0000081337991892
巧克力,31,5,1106494,0.0000280164194293,0.0000325351967566
拍,396,101,1106494,0.0003578871643226,0.0004491664663342
鼓掌,16,1,1106494,0.0000144600874474,0.0000153638429128
打扫,4,1,1106494,0.0000036150218618,0.0000045187773273
干净,113,28,1106494,0.0001021243675971,0.0001274295206300
爬,247,55,1106494,0.0002232275999689,0.0002729341505693
钟,40,8,1106494,0.0000361502186184,0.0000433802623421
关,270,64,1106494,0.0002440139756745,0.0003018543254640
闭,49,9,1106494,0.0000442840178076,0.0000524178169967
柜子,71,24,1106494,0.0000641666380477,0.0000858567692188
布,17,6,1106494,0.0000153638429128,0.0000207863757056
云彩,5,2,1106494,0.0000045187773273,0.0000063262882582
云,30,3,1106494,0.0000271126639638,0.0000298239303602
咖啡,34,3,1106494,0.0000307276858257,0.0000334389522221
冷,158,39,1106494,0.0001427933635429,0.0001780398266959
梳,32,6,1106494,0.0000289201748948,0.0000343427076875
梳子,13,5,1106494,0.0000117488210510,0.0000162675983783
来,5462,1356,1106494,0.0049363123523490,0.0061618047635143
电脑,29,6,1106494,0.0000262089084984,0.0000316314412911
饼干,36,8,1106494,0.0000325351967566,0.0000397652404803
沙发,183,47,1106494,0.0001653872501794,0.0002078637570561
数数,35,7,1106494,0.0000316314412911,0.0000379577295494
盖,194,60,1106494,0.0001753285602995,0.0002295538882271
牛,80,26,1106494,0.0000723004372369,0.0000957980793389
蜡笔,15,6,1106494,0.0000135563319819,0.0000189788647747
